t=2025-11-12T15:24:15+0100 lvl=info msg="no configuration paths supplied"
t=2025-11-12T15:24:15+0100 lvl=info msg="using configuration at default config path" path=C:\\Users\\Sidney\\AppData\\Local/ngrok/ngrok.yml
t=2025-11-12T15:24:15+0100 lvl=info msg="open config file" path=C:\\Users\\Sidney\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2025-11-12T15:24:15+0100 lvl=eror msg="unable to evaluate ngrok agent binary path for symlinks" obj=tunnels.session err="The system cannot find the path specified."
t=2025-11-12T15:24:15+0100 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2025-11-12T15:24:15+0100 lvl=info msg="client session established" obj=tunnels.session
t=2025-11-12T15:24:15+0100 lvl=info msg="tunnel session started" obj=tunnels.session
t=2025-11-12T15:38:06+0100 lvl=info msg="join connections" obj=join id=03a01513a292 l=[::1]:3000 r=78.113.30.26:59670
t=2025-11-12T15:38:07+0100 lvl=info msg="join connections" obj=join id=08eab76cbda9 l=[::1]:3000 r=78.113.30.26:59670
t=2025-11-12T15:38:55+0100 lvl=info msg="join connections" obj=join id=b8865fb628cd l=[::1]:3000 r=78.113.30.26:61734
t=2025-11-12T15:38:55+0100 lvl=info msg="join connections" obj=join id=82c7e4eae348 l=[::1]:3000 r=78.113.30.26:61734
t=2025-11-12T15:38:55+0100 lvl=info msg="join connections" obj=join id=cced755c282d l=[::1]:3000 r=78.113.30.26:61734
t=2025-11-12T15:39:24+0100 lvl=info msg="join connections" obj=join id=ea4c71b5e08c l=[::1]:3000 r=78.113.30.26:61734
t=2025-11-12T15:39:24+0100 lvl=info msg="join connections" obj=join id=477ef7f92c3b l=[::1]:3000 r=78.113.30.26:61734
t=2025-11-12T15:39:24+0100 lvl=info msg="join connections" obj=join id=7ce6da882fc4 l=[::1]:3000 r=78.113.30.26:61734
t=2025-11-12T15:43:50+0100 lvl=info msg="join connections" obj=join id=5ae6b678b67c l=[::1]:3000 r=78.113.30.26:61734
t=2025-11-12T15:43:50+0100 lvl=info msg="join connections" obj=join id=e695a53ecdad l=[::1]:3000 r=78.113.30.26:61734
t=2025-11-12T15:43:50+0100 lvl=info msg="join connections" obj=join id=9dc4f40d1f33 l=[::1]:3000 r=78.113.30.26:61734
t=2025-11-12T15:43:50+0100 lvl=info msg="join connections" obj=join id=fb441d79baf4 l=[::1]:3000 r=78.113.30.26:61734
t=2025-11-12T15:43:50+0100 lvl=info msg="join connections" obj=join id=30d72bc36df3 l=[::1]:3000 r=78.113.30.26:61734
t=2025-11-12T15:43:50+0100 lvl=info msg="join connections" obj=join id=61ec22d6781b l=[::1]:3000 r=78.113.30.26:61734
t=2025-11-12T15:43:50+0100 lvl=info msg="join connections" obj=join id=b7ae2094c293 l=[::1]:3000 r=78.113.30.26:61734
t=2025-11-12T15:43:50+0100 lvl=info msg="join connections" obj=join id=08617945db71 l=[::1]:3000 r=78.113.30.26:61734
t=2025-11-12T15:43:52+0100 lvl=info msg="join connections" obj=join id=338120b3505e l=[::1]:3000 r=78.113.30.26:60618
t=2025-11-12T15:43:53+0100 lvl=info msg="join connections" obj=join id=de1e95656ec1 l=[::1]:3000 r=78.113.30.26:61734
t=2025-11-12T15:43:53+0100 lvl=info msg="join connections" obj=join id=5c12ba2aae60 l=[::1]:3000 r=78.113.30.26:61734
t=2025-11-12T15:44:00+0100 lvl=info msg="join connections" obj=join id=c55e11f671d7 l=[::1]:3000 r=78.113.30.26:61734
t=2025-11-12T15:44:01+0100 lvl=info msg="join connections" obj=join id=256751d938e2 l=[::1]:3000 r=78.113.30.26:61734
t=2025-11-12T15:45:15+0100 lvl=info msg="join connections" obj=join id=4ee92bc03cc3 l=[::1]:3000 r=78.113.30.26:61734
t=2025-11-12T15:45:15+0100 lvl=info msg="join connections" obj=join id=9a963dc85967 l=[::1]:3000 r=78.113.30.26:61734
t=2025-11-12T15:45:15+0100 lvl=info msg="join connections" obj=join id=b8d860be4b10 l=[::1]:3000 r=78.113.30.26:61734
t=2025-11-12T15:45:15+0100 lvl=info msg="join connections" obj=join id=fc9d31722e61 l=[::1]:3000 r=78.113.30.26:61734
t=2025-11-12T15:45:15+0100 lvl=info msg="join connections" obj=join id=e969bc9bd1f4 l=[::1]:3000 r=78.113.30.26:61734
t=2025-11-12T15:45:15+0100 lvl=info msg="join connections" obj=join id=a1708cf4c395 l=[::1]:3000 r=78.113.30.26:61734
t=2025-11-12T15:45:15+0100 lvl=info msg="join connections" obj=join id=23bf62e69bef l=[::1]:3000 r=78.113.30.26:61734
t=2025-11-12T15:45:15+0100 lvl=info msg="join connections" obj=join id=d1cb38c5bdea l=[::1]:3000 r=78.113.30.26:61734
t=2025-11-12T15:45:17+0100 lvl=info msg="join connections" obj=join id=1aae624c6724 l=[::1]:3000 r=78.113.30.26:17712
t=2025-11-12T15:45:18+0100 lvl=info msg="join connections" obj=join id=c0103617f52e l=[::1]:3000 r=78.113.30.26:61734
t=2025-11-12T15:45:18+0100 lvl=info msg="join connections" obj=join id=3f00a3187493 l=[::1]:3000 r=78.113.30.26:61734
t=2025-11-12T15:45:24+0100 lvl=info msg="join connections" obj=join id=4fc7e41cb636 l=[::1]:3000 r=78.113.30.26:61734
t=2025-11-12T15:45:24+0100 lvl=info msg="join connections" obj=join id=b3813a883634 l=[::1]:3000 r=78.113.30.26:61734
t=2025-11-12T15:46:36+0100 lvl=info msg="join connections" obj=join id=ef55bb5f834b l=[::1]:3000 r=78.113.30.26:61734
t=2025-11-12T15:46:36+0100 lvl=info msg="join connections" obj=join id=a05f2c18fc13 l=[::1]:3000 r=78.113.30.26:61734
t=2025-11-12T15:46:36+0100 lvl=info msg="join connections" obj=join id=90351fa36ca4 l=[::1]:3000 r=78.113.30.26:61734
t=2025-11-12T15:46:36+0100 lvl=info msg="join connections" obj=join id=829faa23a15c l=[::1]:3000 r=78.113.30.26:61734
t=2025-11-12T15:46:36+0100 lvl=info msg="join connections" obj=join id=03c0ce2e6162 l=[::1]:3000 r=78.113.30.26:61734
t=2025-11-12T15:46:36+0100 lvl=info msg="join connections" obj=join id=1ef5506d306c l=[::1]:3000 r=78.113.30.26:61734
t=2025-11-12T15:46:36+0100 lvl=info msg="join connections" obj=join id=9f65bd8821b1 l=[::1]:3000 r=78.113.30.26:61734
t=2025-11-12T15:46:36+0100 lvl=info msg="join connections" obj=join id=7cb3f59cbb17 l=[::1]:3000 r=78.113.30.26:61734
t=2025-11-12T15:46:37+0100 lvl=info msg="join connections" obj=join id=29e00db19253 l=[::1]:3000 r=78.113.30.26:61980
t=2025-11-12T15:46:38+0100 lvl=info msg="join connections" obj=join id=7b5689943f9a l=[::1]:3000 r=78.113.30.26:61734
t=2025-11-12T15:46:38+0100 lvl=info msg="join connections" obj=join id=64c4120f31e5 l=[::1]:3000 r=78.113.30.26:61734
t=2025-11-12T15:46:42+0100 lvl=info msg="join connections" obj=join id=aaed346c61f7 l=[::1]:3000 r=78.113.30.26:61734
t=2025-11-12T15:46:42+0100 lvl=info msg="join connections" obj=join id=04e932aed4ba l=[::1]:3000 r=78.113.30.26:61734
t=2025-11-12T15:47:39+0100 lvl=info msg="join connections" obj=join id=2b8885504e0a l=[::1]:3000 r=78.113.30.26:61734
t=2025-11-12T15:47:39+0100 lvl=info msg="join connections" obj=join id=3e05b7790462 l=[::1]:3000 r=78.113.30.26:61734
t=2025-11-12T15:47:39+0100 lvl=info msg="join connections" obj=join id=00fb45eb4c9d l=[::1]:3000 r=78.113.30.26:61734
t=2025-11-12T15:47:39+0100 lvl=info msg="join connections" obj=join id=f98d9d4ade82 l=[::1]:3000 r=78.113.30.26:61734
t=2025-11-12T15:47:39+0100 lvl=info msg="join connections" obj=join id=f61280d1293e l=[::1]:3000 r=78.113.30.26:61734
t=2025-11-12T15:47:39+0100 lvl=info msg="join connections" obj=join id=19e9cf5e0ab3 l=[::1]:3000 r=78.113.30.26:61734
t=2025-11-12T15:47:39+0100 lvl=info msg="join connections" obj=join id=3aa1c794e281 l=[::1]:3000 r=78.113.30.26:61734
t=2025-11-12T15:47:39+0100 lvl=info msg="join connections" obj=join id=7821f2e2bba6 l=[::1]:3000 r=78.113.30.26:61734
t=2025-11-12T15:47:39+0100 lvl=info msg="join connections" obj=join id=99fc02036342 l=[::1]:3000 r=78.113.30.26:51981
t=2025-11-12T15:47:40+0100 lvl=info msg="join connections" obj=join id=0741d54e0056 l=[::1]:3000 r=78.113.30.26:61734
t=2025-11-12T15:47:40+0100 lvl=info msg="join connections" obj=join id=527ce9c4be50 l=[::1]:3000 r=78.113.30.26:61734
t=2025-11-12T15:47:45+0100 lvl=info msg="join connections" obj=join id=34e6d3a3c37b l=[::1]:3000 r=78.113.30.26:61734
t=2025-11-12T15:47:46+0100 lvl=info msg="join connections" obj=join id=f7faf2dfcf90 l=[::1]:3000 r=78.113.30.26:61734
t=2025-11-12T15:51:43+0100 lvl=info msg="join connections" obj=join id=a028487df7b3 l=[::1]:3000 r=78.113.30.26:54211
t=2025-11-12T15:51:44+0100 lvl=info msg="join connections" obj=join id=f8f7e4446d32 l=[::1]:3000 r=78.113.30.26:54211
t=2025-11-12T15:51:44+0100 lvl=info msg="join connections" obj=join id=307ec663b40f l=[::1]:3000 r=78.113.30.26:54211
t=2025-11-12T15:51:44+0100 lvl=info msg="join connections" obj=join id=2a40a7a832e4 l=[::1]:3000 r=78.113.30.26:54211
t=2025-11-12T15:51:44+0100 lvl=info msg="join connections" obj=join id=031f30762bd4 l=[::1]:3000 r=78.113.30.26:54211
t=2025-11-12T15:51:44+0100 lvl=info msg="join connections" obj=join id=0ddcc576b86d l=[::1]:3000 r=78.113.30.26:54211
t=2025-11-12T15:51:44+0100 lvl=info msg="join connections" obj=join id=a8ecc435ac28 l=[::1]:3000 r=78.113.30.26:54211
t=2025-11-12T15:51:44+0100 lvl=info msg="join connections" obj=join id=4c21c3fd0b26 l=[::1]:3000 r=78.113.30.26:54211
t=2025-11-12T15:51:46+0100 lvl=info msg="join connections" obj=join id=17adea01f0e6 l=[::1]:3000 r=78.113.30.26:57258
t=2025-11-12T15:51:47+0100 lvl=info msg="join connections" obj=join id=165bc70f0e69 l=[::1]:3000 r=78.113.30.26:54211
t=2025-11-12T15:51:47+0100 lvl=info msg="join connections" obj=join id=1bdba6d73cf9 l=[::1]:3000 r=78.113.30.26:54211
t=2025-11-12T15:51:52+0100 lvl=info msg="join connections" obj=join id=b0fa5a8f5d0b l=[::1]:3000 r=78.113.30.26:54211
t=2025-11-12T15:51:52+0100 lvl=info msg="join connections" obj=join id=2738fadf0eb8 l=[::1]:3000 r=78.113.30.26:54211
t=2025-11-12T15:51:53+0100 lvl=info msg="join connections" obj=join id=d9e2453cff60 l=[::1]:3000 r=78.113.30.26:54211
t=2025-11-12T15:51:54+0100 lvl=info msg="join connections" obj=join id=49a6462d1f14 l=[::1]:3000 r=78.113.30.26:54211
t=2025-11-12T15:54:41+0100 lvl=info msg="join connections" obj=join id=c72d0622fe47 l=[::1]:3000 r=78.113.30.26:60612
t=2025-11-12T15:55:27+0100 lvl=info msg="join connections" obj=join id=bbc9d53ccbe3 l=[::1]:3000 r=78.113.30.26:54211
t=2025-11-12T15:55:28+0100 lvl=info msg="join connections" obj=join id=6c6175f95f25 l=[::1]:3000 r=78.113.30.26:54211
t=2025-11-12T15:55:28+0100 lvl=info msg="join connections" obj=join id=d712ebd70351 l=[::1]:3000 r=78.113.30.26:54211
t=2025-11-12T15:56:41+0100 lvl=info msg="join connections" obj=join id=c2be46f32f9a l=[::1]:3000 r=78.113.30.26:53173
t=2025-11-12T15:57:42+0100 lvl=info msg="join connections" obj=join id=7a3a7b416b9c l=[::1]:3000 r=78.113.30.26:54211
t=2025-11-12T15:57:42+0100 lvl=info msg="join connections" obj=join id=5e81497d37f0 l=[::1]:3000 r=78.113.30.26:54211
t=2025-11-12T15:57:42+0100 lvl=info msg="join connections" obj=join id=84b0e40c8683 l=[::1]:3000 r=78.113.30.26:54211
t=2025-11-12T15:57:42+0100 lvl=info msg="join connections" obj=join id=bef9871f78e1 l=[::1]:3000 r=78.113.30.26:54211
t=2025-11-12T15:57:42+0100 lvl=info msg="join connections" obj=join id=c4d0c78dc8cb l=[::1]:3000 r=78.113.30.26:54211
t=2025-11-12T15:57:42+0100 lvl=info msg="join connections" obj=join id=96967df2b39d l=[::1]:3000 r=78.113.30.26:54211
t=2025-11-12T15:57:42+0100 lvl=info msg="join connections" obj=join id=4fdf1b018331 l=[::1]:3000 r=78.113.30.26:54211
t=2025-11-12T15:57:42+0100 lvl=info msg="join connections" obj=join id=680e77a9cd71 l=[::1]:3000 r=78.113.30.26:54211
